date,num_of_exceptions,expected_officers,num_of_crimes_predicted,num_of_calls_predicted,expected_officers_rank,num_of_crimes_predicted_rank,num_of_calls_predicted_rank,expected_officers_bucket,num_of_crimes_predicted_bucket,num_of_calls_predicted_bucket
2022-09-30,35,245,114.55764244786648,430.51303285993976,0.22897196261682243,0.9252336448598131,0.6869158878504673,1,3,3
2022-10-01,19,261,182.0138667929293,405.29598144837615,0.9836448598130841,0.9719626168224299,0.2523364485981308,3,3,1
2022-10-02,14,266,100.77347042424162,367.2028787931366,1.0,0.34579439252336447,0.04205607476635514,3,2,1
2022-10-03,45,235,98.43721454656696,428.12832723908633,0.004672897196261682,0.18691588785046728,0.6308411214953271,1,1,2
2022-10-04,28,252,100.53375571728314,418.04604013632826,0.6448598130841121,0.3130841121495327,0.4532710280373832,2,1,2
2022-10-05,41,239,100.14353683334602,428.94449326068445,0.04205607476635514,0.2850467289719626,0.6542056074766355,1,1,2
2022-10-06,26,254,100.52545375017009,433.2001583395013,0.735981308411215,0.308411214953271,0.7289719626168224,3,1,3
2022-10-07,36,244,99.15061587477484,432.956172468728,0.16822429906542055,0.2383177570093458,0.7242990654205608,1,1,3
2022-10-08,29,251,100.54602388050112,392.9883152540695,0.5817757009345794,0.3177570093457944,0.16822429906542055,2,1,1
2022-10-09,27,253,98.48179850706032,366.9048780325955,0.6869158878504673,0.19158878504672897,0.037383177570093455,3,1,1
2022-10-10,23,257,94.62075898344372,419.44535421245024,0.8901869158878505,0.07009345794392523,0.48598130841121495,3,1,2
2022-10-11,39,241,98.10997315754238,368.58150232683977,0.09345794392523364,0.17289719626168223,0.056074766355140186,1,1,1
2022-10-12,28,252,108.88467925671142,415.21287615417367,0.6448598130841121,0.7476635514018691,0.411214953271028,2,3,2
2022-10-13,30,250,101.22070951313628,427.1755183337694,0.5070093457943925,0.3644859813084112,0.6121495327102804,2,2,2
2022-10-14,24,256,102.78330240334044,426.8085508047182,0.8457943925233645,0.45794392523364486,0.5981308411214953,3,2,2
2022-10-15,24,256,101.9500890695544,382.5389783906826,0.8457943925233645,0.4158878504672897,0.1308411214953271,3,2,1
2022-10-16,25,255,96.05587328301436,362.25804282336026,0.7920560747663551,0.10747663551401869,0.028037383177570093,3,1,1
2022-10-17,36,244,97.24319380807988,408.97035767589904,0.16822429906542055,0.14018691588785046,0.3037383177570093,1,1,1
2022-10-18,26,254,102.55724419510214,410.102518686068,0.735981308411215,0.42990654205607476,0.3317757009345794,3,2,2
2022-10-19,28,252,100.25914366111792,414.1885047421187,0.6448598130841121,0.2897196261682243,0.397196261682243,2,1,2
2022-10-20,24,256,101.80280001519698,430.2650728443009,0.8457943925233645,0.411214953271028,0.6822429906542056,3,2,3
2022-10-21,32,248,109.90286162743344,436.0759048176511,0.40186915887850466,0.7897196261682243,0.7897196261682243,2,3,3
2022-10-22,20,260,106.77817998775234,465.1487666666667,0.9532710280373832,0.6588785046728972,0.9345794392523364,3,2,3
2022-10-23,26,254,101.3010529892984,370.4385002548177,0.735981308411215,0.37383177570093457,0.0794392523364486,3,2,1
2022-10-24,20,260,112.05205441051768,424.5857549601582,0.9532710280373832,0.8551401869158879,0.5560747663551402,3,3,2
2022-10-25,30,250,104.51484150439414,425.77933225108217,0.5070093457943925,0.5607476635514018,0.5794392523364486,2,2,2
2022-10-26,28,252,113.83892668532356,421.08816426904286,0.6448598130841121,0.9112149532710281,0.5093457943925234,2,3,2
2022-10-27,29,251,105.77169635358426,434.5933655510832,0.5817757009345794,0.6261682242990654,0.7476635514018691,2,2,3
2022-10-28,35,245,110.0154683633629,435.07116789676047,0.22897196261682243,0.7990654205607477,0.7663551401869159,1,3,3
2022-10-29,27,253,110.02830013271344,390.5263113075332,0.6869158878504673,0.8037383177570093,0.14485981308411214,3,3,1
2022-10-30,25,255,104.17234243757036,372.15269476031216,0.7920560747663551,0.5327102803738317,0.08878504672897196,3,2,1
2022-10-31,40,240,110.70595543062852,410.30240397905175,0.06775700934579439,0.8317757009345794,0.3364485981308411,1,3,2
2022-11-01,35,245,183.70662348935787,452.6698571787601,0.22897196261682243,0.9766355140186916,0.9065420560747663,1,3,3
2022-11-02,38,242,97.68189104233484,445.6322647955475,0.1191588785046729,0.14953271028037382,0.8925233644859814,1,1,3
2022-11-03,42,238,97.634882349556,442.69979262997686,0.02102803738317757,0.14485981308411214,0.8644859813084113,1,1,3
2022-11-04,42,238,98.9488093548382,427.8130817628261,0.02102803738317757,0.22897196261682243,0.6214953271028038,1,1,2
2022-11-05,26,254,101.4072478236009,371.1413542396454,0.735981308411215,0.3878504672897196,0.08411214953271028,3,2,1
2022-11-06,24,256,98.588896693305,367.8722952380953,0.8457943925233645,0.21495327102803738,0.0514018691588785,3,1,1
2022-11-07,30,250,98.42684727376128,410.3445992381899,0.5070093457943925,0.1822429906542056,0.3411214953271028,2,1,2
2022-11-08,41,239,98.16741475780674,416.2915272315172,0.04205607476635514,0.17757009345794392,0.4252336448598131,1,1,2
2022-11-09,30,250,102.90638998472475,423.2060353922894,0.5070093457943925,0.48130841121495327,0.5373831775700935,2,2,2
2022-11-10,37,243,104.81653245925035,427.16525652422047,0.14018691588785046,0.5747663551401869,0.6074766355140186,1,2,2
2022-11-11,34,246,107.85198855337198,431.05413982249553,0.2827102803738318,0.6822429906542056,0.6915887850467289,1,3,3
2022-11-12,18,262,99.44630413309208,472.845280952381,0.9953271028037384,0.24766355140186916,0.9579439252336449,3,1,3
2022-11-13,22,258,94.29877137542736,349.9226666666668,0.9158878504672897,0.06074766355140187,0.004672897196261682,3,1,1
2022-11-14,41,239,95.88881636780891,362.8293641303141,0.04205607476635514,0.09813084112149532,0.03271028037383177,1,1,1
2022-11-15,38,242,103.25399808892622,411.2798525271231,0.1191588785046729,0.5046728971962616,0.3644859813084112,1,2,2
2022-11-16,38,242,102.58955606027703,418.792912862378,0.1191588785046729,0.4392523364485981,0.4719626168224299,1,2,2
2022-11-17,42,238,107.20001897016876,418.4740098729919,0.02102803738317757,0.6682242990654206,0.45794392523364486,1,3,2
2022-11-18,29,251,105.93761382243912,420.2841314224856,0.5817757009345794,0.6401869158878505,0.5,2,2,2
2022-11-19,23,257,105.78489523191774,368.6245039952194,0.8901869158878505,0.6308411214953271,0.06074766355140187,3,2,1
2022-11-20,25,255,98.50040111508082,360.3423632034632,0.7920560747663551,0.19626168224299065,0.018691588785046728,3,1,1
2022-11-21,20,260,95.77794980451267,370.3364973656834,0.9532710280373832,0.08878504672897196,0.07476635514018691,3,1,1
2022-11-22,23,257,105.13522455577451,416.0335083405876,0.8901869158878505,0.5841121495327103,0.4205607476635514,3,2,2
2022-11-23,21,259,109.0181291541726,416.7297334355216,0.9252336448598131,0.7663551401869159,0.4439252336448598,3,3,2
2022-11-24,31,249,108.99358439499689,415.87477419991774,0.45560747663551404,0.7616822429906542,0.4158878504672897,2,3,2
2022-11-25,31,249,103.05430321272884,426.2567708273044,0.45560747663551404,0.49065420560747663,0.5887850467289719,2,2,2
2022-11-26,29,251,102.30035622648202,471.3672642857143,0.5817757009345794,0.4205607476635514,0.9532710280373832,2,2,3
2022-11-27,20,260,102.8928699741015,361.9576666666667,0.9532710280373832,0.4719626168224299,0.02336448598130841,3,2,1
2022-11-28,25,255,100.7185420385626,373.9137140692641,0.7920560747663551,0.3364485981308411,0.10747663551401869,3,2,1
2022-11-29,25,255,102.90042193173628,409.4918201926671,0.7920560747663551,0.4766355140186916,0.3177570093457944,3,2,1
2022-11-30,28,252,112.928042926678,391.81059321710455,0.6448598130841121,0.8738317757009346,0.16355140186915887,2,3,1
2022-12-01,34,246,188.44051651184463,459.2720811180704,0.2827102803738318,0.9813084112149533,0.9252336448598131,1,3,3
2022-12-02,25,255,108.31537472853698,454.87620036587606,0.7920560747663551,0.7009345794392523,0.9158878504672897,3,3,3
2022-12-03,19,261,99.9225838850899,381.11029176680455,0.9836448598130841,0.2803738317757009,0.12149532710280374,3,1,1
2022-12-04,20,260,100.97155535058934,359.4998571428571,0.9532710280373832,0.3598130841121495,0.014018691588785047,3,2,1
2022-12-05,20,260,93.58728923490244,373.0508313095173,0.9532710280373832,0.037383177570093455,0.102803738317757,3,1,1
2022-12-06,23,257,98.10404446988017,424.9589113017842,0.8901869158878505,0.16822429906542055,0.5654205607476636,3,1,2
2022-12-07,29,251,98.89530356136213,435.5368589209976,0.5817757009345794,0.22429906542056074,0.780373831775701,2,1,3
2022-12-08,35,245,99.65552390622784,437.2151165814747,0.22897196261682243,0.2570093457943925,0.8084112149532711,1,1,3
2022-12-09,31,249,95.82811960084022,443.4652150699004,0.45560747663551404,0.09345794392523364,0.8738317757009346,2,1,3
2022-12-10,32,248,96.4945033257074,408.7333699698457,0.40186915887850466,0.11682242990654206,0.29906542056074764,2,1,1
2022-12-11,19,261,94.5819600868624,377.275,0.9836448598130841,0.06542056074766354,0.11214953271028037,3,1,1
2022-12-12,28,252,93.56032928938272,386.8447750096416,0.6448598130841121,0.03271028037383177,0.13551401869158877,2,1,1
2022-12-13,19,261,98.98773526310823,406.802965793861,0.9836448598130841,0.2336448598130841,0.26635514018691586,3,1,1
2022-12-14,26,254,99.7958785958088,463.45349965009046,0.735981308411215,0.2757009345794392,0.9299065420560748,3,1,3
2022-12-15,29,251,102.73715056038296,437.23502726844856,0.5817757009345794,0.4532710280373832,0.8130841121495327,2,2,3
2022-12-16,33,247,96.78432357834862,493.5294338551386,0.3341121495327103,0.1261682242990654,0.9766355140186916,2,1,3
2022-12-17,36,244,102.60101348388508,424.6494791845836,0.16822429906542055,0.4439252336448598,0.5607476635514018,1,2,2
2022-12-18,33,247,101.42943527728752,377.7984,0.3341121495327103,0.3925233644859813,0.11682242990654206,2,2,1
2022-12-19,30,250,99.16486778616635,407.7168759145444,0.5070093457943925,0.24299065420560748,0.2850467289719626,2,1,1
2022-12-20,33,247,100.62914000516942,411.0816059079907,0.3341121495327103,0.32242990654205606,0.35514018691588783,2,1,2
2022-12-21,23,257,100.37001689710034,414.00587555524936,0.8901869158878505,0.3037383177570093,0.3925233644859813,3,1,2
2022-12-22,31,249,93.83080663102322,480.2294038461539,0.45560747663551404,0.04205607476635514,0.9672897196261683,2,1,3
2022-12-23,33,247,95.0631322207288,495.3004205128206,0.3341121495327103,0.0794392523364486,0.985981308411215,2,1,3
2022-12-24,33,247,105.409746361562,422.014127536232,0.3341121495327103,0.6074766355140186,0.5233644859813084,2,2,2
2022-12-25,33,247,97.14024746429992,372.2671333333333,0.3341121495327103,0.13551401869158877,0.09345794392523364,2,1,1
2022-12-26,35,245,91.86221377697902,367.7150593073593,0.22897196261682243,0.018691588785046728,0.04672897196261682,1,1,1
2022-12-27,27,253,89.13630083064,369.88559375817977,0.6869158878504673,0.009345794392523364,0.07009345794392523,3,1,1
2022-12-28,27,253,92.5714240289241,372.81654910866905,0.6869158878504673,0.02336448598130841,0.09813084112149532,3,1,1
2022-12-29,32,248,91.23775244819642,396.3774413730338,0.40186915887850466,0.014018691588785047,0.205607476635514,2,1,1
2022-12-30,35,245,87.29797609961278,387.6228198287232,0.22897196261682243,0.004672897196261682,0.14018691588785046,1,1,1
2022-12-31,32,248,94.7433290424219,422.6159,0.40186915887850466,0.07476635514018691,0.5280373831775701,2,1,2
